counter;start;end;duration in ms
310;104331760897500;104331764120500;3
311;104331805017400;104331808231200;3
312;104331847774200;104331850975600;3
313;104331892811700;104331896385700;3
314;104331937037500;104331940256400;3
315;104331980792300;104331984024700;3
316;104332024694400;104332027995200;3
317;104332067230500;104332070549400;3
318;104332108560300;104332111860100;3
319;104332154251500;104332157897800;3
320;104332198545500;104332201749700;3
321;104332240727800;104332243944600;3
322;104332282765300;104332286024000;3
323;104332326000600;104332329321500;3
324;104332370872600;104332373979800;3
325;104332414478500;104332417791700;3
326;104332457262500;104332460456800;3
327;104332496408100;104332499730900;3
328;104332538575400;104332541998500;3
329;104332583062800;104332586260200;3
330;104332625527800;104332628844700;3
331;104332666171600;104332669341900;3
332;104332708452900;104332711645900;3
333;104332751484700;104332754720400;3
334;104332796412500;104332799657000;3
335;104332839263800;104332842493700;3
336;104332881222100;104332884489400;3
337;104332922484300;104332925719500;3
338;104332963648900;104332966900300;3
339;104333008099700;104333011396900;3
340;104333050041000;104333053252900;3
341;104333092923300;104333096162800;3
342;104333134830900;104333138104600;3
343;104333176360700;104333179657000;3
344;104333222813700;104333226018300;3
345;104333265048000;104333268259300;3
346;104333307590300;104333310816900;3
347;104333349622700;104333353173000;3
348;104333391527100;104333394807200;3
349;104333433379500;104333437093600;3
350;104333481891700;104333485065800;3
351;104333524223800;104333527703800;3
352;104333567481900;104333570798600;3
353;104333609384500;104333612805200;3
354;104333651233500;104333654491400;3
355;104333695356500;104333698549300;3
356;104333737195300;104333740465100;3
357;104333778406600;104333781635800;3
358;104333819464400;104333822955200;3
359;104333861367300;104333864606900;3
360;104333904922900;104333908065400;3
361;104333946945100;104333950157800;3
362;104333990413000;104333993717700;3
363;104334032802400;104334036032900;3
364;104334074319900;104334077531700;3
365;104334113787500;104334117028800;3
366;104334158686900;104334161920800;3
367;104334202533400;104334205726300;3
368;104334245126500;104334248303100;3
369;104334288045900;104334291256800;3
370;104334330544300;104334333782800;3
371;104334375284400;104334378472000;3
372;104334416516700;104334419693000;3
373;104334463349500;104334466849100;3
374;104334506206400;104334509513900;3
375;104334548503200;104334551752500;3
376;104334594179300;104334597375300;3
377;104334636157300;104334639414100;3
378;104334677506800;104334680759500;3
379;104334721065700;104334724297900;3
380;104334762408100;104334765769200;3
381;104334805364700;104334808611600;3
382;104334846032000;104334849253900;3
383;104334888768400;104334892034700;3
384;104334931632500;104334935912400;4
385;104334976591700;104334980009800;3
386;104335021388900;104335025114500;3
387;104335068198600;104335071390300;3
388;104335108555400;104335111872900;3
389;104335151182500;104335154387200;3
390;104335192990000;104335196232400;3
391;104335234197600;104335237465000;3
392;104335277350200;104335280545000;3
393;104335319312400;104335322558300;3
394;104335362081900;104335365290100;3
395;104335403005200;104335406296100;3
396;104335445294300;104335449166800;3
397;104335491936100;104335495437800;3
398;104335535331600;104335538826800;3
399;104335579815300;104335583399900;3
400;104335627048500;104335632649900;5
401;104335680364500;104335683831900;3
402;104335724679200;104335732597500;7
403;104335774690700;104335777865100;3
404;104335816076100;104335819305700;3
405;104335856971000;104335860229100;3
406;104335899496400;104335902760800;3
407;104335942886700;104335946357200;3
408;104335987787700;104335991352400;3
409;104336029825400;104336033445100;3
410;104336072381100;104336075615400;3
411;104336116438500;104336119752700;3
412;104336156604100;104336159889200;3
413;104336201939600;104336205124500;3
414;104336242443000;104336245660800;3
415;104336283092700;104336286301700;3
416;104336325863500;104336329160600;3
417;104336367165400;104336370394600;3
418;104336411454600;104336414750900;3
419;104336454383400;104336457840000;3
420;104336499392700;104336502802000;3
421;104336542138900;104336545597500;3
422;104336583522500;104336586757100;3
423;104336625029800;104336631811000;6
424;104336670311800;104336673549800;3
425;104336713540500;104336716880600;3
426;104336754349200;104336757985800;3
427;104336794193800;104336797429000;3
428;104336834984300;104336838285000;3
429;104336879738900;104336883023200;3
430;104336921154700;104336924358300;3
431;104336961140200;104336964383300;3
432;104337002600700;104337005973700;3
433;104337045713500;104337048969700;3
434;104337089458300;104337092585700;3
435;104337131069500;104337134252600;3
436;104337178645400;104337181904000;3
437;104337221176000;104337224345200;3
438;104337261766300;104337264950100;3
439;104337304603100;104337307962200;3
440;104337349826900;104337352938000;3
441;104337390511600;104337393776100;3
442;104337431757400;104337435028200;3
443;104337474429600;104337477728400;3
444;104337517245200;104337520618900;3
445;104337561614300;104337564921200;3
446;104337602371100;104337605588600;3
447;104337643610200;104337646862000;3
448;104337693386600;104337697915800;4
449;104337735771000;104337739079500;3
450;104337775882400;104337782690500;6
451;104337822413500;104337825617600;3
452;104337864549800;104337868312200;3
453;104337905459400;104337908620000;3
454;104337946919300;104337950163600;3
455;104337989254700;104337992611900;3
456;104338035140500;104338038340500;3
