counter;start;end;duration in ms
760;104351010025200;104351050391400;40
761;104351050392800;104351089772200;39
762;104351089773700;104351131702800;41
763;104351131704300;104351173163000;41
764;104351173164400;104351217079500;43
765;104351217080700;104351258638000;41
766;104351258639500;104351298390800;39
767;104351298392100;104351341614800;43
768;104351341616400;104351382363400;40
769;104351382364600;104351421834700;39
770;104351421836300;104351466370900;44
771;104351466372500;104351506305100;39
772;104351506306700;104351548406000;42
773;104351548407700;104351590488000;42
774;104351590489500;104351631110600;40
775;104351631112300;104351669682100;38
776;104351669683500;104351715243300;45
777;104351715244500;104351756049200;40
778;104351756051000;104351797404600;41
779;104351797406400;104351838930700;41
780;104351838932200;104351878456400;39
781;104351878457600;104351917531700;39
782;104351917533300;104351961402900;43
783;104351961404200;104352000791000;39
784;104352000792500;104352043978000;43
785;104352043979700;104352083633300;39
786;104352083634700;104352126547100;42
787;104352126548600;104352166193000;39
788;104352166194400;104352208838000;42
789;104352208839100;104352247059600;38
790;104352247061300;104352287276600;40
791;104352287278200;104352328035300;40
792;104352328037000;104352368303300;40
793;104352368304900;104352410102700;41
794;104352410104100;104352459197800;49
795;104352459199200;104352501932100;42
796;104352501933900;104352542811300;40
797;104352542812800;104352584860100;42
798;104352584861400;104352624777100;39
799;104352624778600;104352665296700;40
800;104352665298300;104352708283800;42
801;104352708285200;104352749101600;40
802;104352749102900;104352794452100;45
803;104352794453700;104352833580200;39
804;104352833581600;104352875167600;41
805;104352875169300;104352916638800;41
806;104352916640400;104352961034800;44
807;104352961036400;104353002210700;41
808;104353002211900;104353043913900;41
809;104353043915300;104353085006100;41
810;104353085007300;104353124665800;39
811;104353124667100;104353164450200;39
812;104353164451500;104353207245500;42
813;104353207246500;104353247569800;40
814;104353247571400;104353286393700;38
815;104353286395100;104353327847000;41
816;104353327848700;104353369010400;41
817;104353369011800;104353408460000;39
818;104353408461500;104353452280400;43
819;104353452281600;104353493461600;41
820;104353493463200;104353534426600;40
821;104353534428400;104353576637400;42
822;104353576638900;104353617433300;40
823;104353617434500;104353657451300;40
824;104353657453100;104353701350800;43
825;104353701352100;104353741051400;39
826;104353741052800;104353782224800;41
827;104353782226600;104353828631100;46
828;104353828632600;104353867640900;39
829;104353867642300;104353908743800;41
830;104353908745400;104353952842700;44
831;104353952844200;104353994885200;42
832;104353994906500;104354035915800;41
833;104354035921500;104354076622600;40
834;104354076623900;104354116219400;39
835;104354116220900;104354156815600;40
836;104354156816800;104354199997100;43
837;104354199998200;104354240548700;40
838;104354240550400;104354281238700;40
839;104354281239900;104354320709500;39
840;104354320710800;104354360853200;40
841;104354360854900;104354401192800;40
842;104354401193800;104354443171600;41
843;
